date,open,high,low,close,volume,rank
2018-04-26,4.89,4.89,4.79,4.8,11033608,0.6652977412731006
2018-04-27,4.81,4.82,4.74,4.77,15507683,0.6909650924024641
2018-05-02,4.78,4.79,4.72,4.75,11984452,0.702258726899384
2018-05-03,4.74,4.79,4.71,4.78,12150461,0.6683778234086243
2018-05-04,4.78,4.79,4.75,4.77,8681980,0.660164271047228
2018-05-07,4.79,4.91,4.78,4.88,19725881,0.6303901437371663
2018-05-08,4.9,4.92,4.86,4.9,12697978,0.7012320328542094
2018-05-09,4.92,4.95,4.89,4.92,11248973,0.6581108829568788
2018-05-10,4.93,4.94,4.86,4.9,10660884,0.6560574948665298
2018-05-11,4.91,4.92,4.86,4.87,9617806,0.6386036960985626
2018-05-14,4.89,4.91,4.87,4.89,8390540,0.6190965092402464
2018-05-15,4.91,4.91,4.84,4.89,9985358,0.6344969199178645
2018-05-16,4.88,4.88,4.84,4.86,7506804,0.6314168377823408
2018-05-17,4.87,4.87,4.83,4.83,5052398,0.5924024640657084
2018-05-18,4.84,4.88,4.83,4.87,7954094,0.5410677618069816
2018-05-21,4.88,4.93,4.87,4.9,11182329,0.3963039014373717
2018-05-22,4.9,4.91,4.83,4.86,9202310,0.3069815195071869
2018-05-23,4.85,4.86,4.79,4.81,10443653,0.3090349075975359
2018-05-24,4.81,4.81,4.76,4.77,8805578,0.297741273100616
2018-05-25,4.77,4.8,4.72,4.73,9224881,0.2731006160164271
2018-05-28,4.73,4.76,4.7,4.74,6822310,0.2258726899383983
2018-05-29,4.74,4.75,4.65,4.69,11355494,0.1642710472279261
2018-05-30,4.66,4.67,4.55,4.56,15220090,0.1468172484599589
2018-05-31,4.57,4.6,4.54,4.58,8829124,0.1745379876796715
2018-06-01,4.59,4.64,4.55,4.57,9172160,0.2299794661190965
2018-06-04,4.57,4.62,4.57,4.61,7487913,0.2669404517453799
2018-06-05,4.61,4.63,4.58,4.63,7597864,0.2761806981519507
2018-06-06,4.62,4.65,4.6,4.63,6952416,0.228952772073922
2018-06-07,4.63,4.66,4.61,4.62,8225898,0.2227926078028747
2018-06-08,4.62,4.62,4.48,4.51,11199495,0.3182751540041068
2018-06-11,4.49,4.59,4.49,4.55,8800343,0.4281314168377823
2018-06-12,4.55,4.59,4.54,4.57,5987047,0.5872689938398358
2018-06-13,4.56,4.65,4.54,4.57,10199167,0.662217659137577
2018-06-14,4.55,4.59,4.52,4.55,6147021,0.7002053388090349
2018-06-15,4.55,4.72,4.54,4.61,12757054,0.7248459958932238
2018-06-19,4.57,4.59,4.21,4.31,21581394,0.7782340862422998
2018-06-20,4.33,4.36,4.23,4.31,14169121,0.8531827515400411
2018-06-21,4.31,4.4,4.29,4.3,14780280,0.8819301848049281
2018-06-22,4.28,4.36,4.26,4.34,8279987,0.8295687885010267
2018-06-25,4.38,4.4,4.27,4.29,9477793,0.7505133470225873
2018-06-26,4.24,4.26,4.12,4.21,9861233,0.6365503080082136
2018-06-27,4.2,4.21,4.11,4.14,8298196,0.4907597535934292
2018-06-28,4.15,4.17,4.09,4.1,6451798,0.3655030800821355
2018-06-29,4.11,4.21,4.1,4.18,7700809,0.4620123203285421
2018-07-02,4.17,4.18,4.03,4.05,10443648,0.3952772073921971
2018-07-03,4.05,4.09,4.03,4.08,7244840,0.4219712525667351
2018-07-04,4.07,4.09,4.05,4.05,6122316,0.3901437371663244
2018-07-05,4.06,4.08,3.92,3.94,10972487,0.4260780287474333
2018-07-06,3.9,3.91,3.82,3.85,9438964,0.6139630390143738
2018-07-09,3.86,3.98,3.86,3.96,9296218,0.6991786447638604
2018-07-10,3.94,4.02,3.94,3.99,6933135,0.7381930184804928
2018-07-11,3.95,3.96,3.86,3.89,9279312,0.8172484599589322
2018-07-12,3.9,4.0,3.9,3.99,7513226,0.8285420944558521
2018-07-13,4.02,4.14,4.02,4.1,14039696,0.8182751540041068
2018-07-16,4.07,4.1,3.98,4.01,11968254,0.8336755646817249
2018-07-17,4.01,4.03,3.96,4.03,5833356,0.797741273100616
2018-07-18,4.01,4.05,3.99,3.99,6314800,0.768993839835729
2018-07-19,3.99,4.01,3.96,3.97,4318600,0.7700205338809035
2018-07-20,3.98,4.06,3.95,4.04,8925591,0.8049281314168378
2018-07-23,4.03,4.12,4.01,4.11,12315859,0.8696098562628337
2018-07-24,4.11,4.23,4.1,4.18,17972992,0.8809034907597536
2018-07-25,4.18,4.22,4.15,4.21,11053684,0.8706365503080082
2018-07-26,4.2,4.24,4.18,4.18,10806996,0.8655030800821355
2018-07-27,4.19,4.25,4.19,4.22,11128756,0.811088295687885
2018-07-30,4.21,4.24,4.16,4.19,8923302,0.795687885010267
2018-07-31,4.19,4.23,4.18,4.21,7264341,0.824435318275154
2018-08-01,4.19,4.21,4.08,4.08,14711135,0.8223819301848049
2018-08-02,4.07,4.1,3.91,3.98,11362547,0.784394250513347
2018-08-03,3.99,4.03,3.96,3.99,7458027,0.7063655030800822
2018-08-06,3.99,4.03,3.91,3.97,9059823,0.4527720739219713
2018-08-07,3.95,4.06,3.93,4.04,9186272,0.4394250513347023
2018-08-08,4.06,4.06,4.0,4.01,7959389,0.3973305954825462
2018-08-09,4.0,4.11,3.98,4.09,12065901,0.4917864476386037
2018-08-10,4.1,4.18,4.07,4.15,14950808,0.6673511293634496
2018-08-13,4.1,4.16,4.05,4.14,12716791,0.715605749486653
2018-08-14,4.14,4.15,4.1,4.13,5445551,0.7053388090349076
2018-08-15,4.13,4.13,4.05,4.05,5817128,0.7402464065708418
2018-08-16,4.05,4.07,3.99,4.04,5623509,0.7987679671457906
2018-08-17,4.06,4.08,4.0,4.01,5386576,0.8347022587268994
2018-08-20,4.01,4.04,3.95,3.99,8698557,0.8993839835728953
2018-08-21,3.99,4.09,3.99,4.09,9041740,0.9014373716632443
2018-08-22,4.08,4.09,4.06,4.07,6069114,0.9147843942505134
2018-08-23,4.08,4.16,4.07,4.12,12050519,0.9065708418891171
2018-08-24,4.12,4.22,4.1,4.2,19515847,0.8572895277207392
2018-08-27,4.22,4.29,4.21,4.28,19658700,0.8470225872689938
2018-08-28,4.25,4.29,4.23,4.27,10726184,0.8408624229979466
2018-08-29,4.26,4.32,4.25,4.29,10861269,0.8562628336755647
2018-08-30,4.29,4.3,4.22,4.25,11034531,0.8449691991786448
2018-08-31,4.27,4.32,4.22,4.27,12935519,0.8090349075975359
2018-09-03,4.29,4.3,4.21,4.24,7839382,0.8162217659137577
2018-09-04,4.27,4.31,4.25,4.3,11558031,0.8100616016427105
2018-09-05,4.3,4.32,4.27,4.27,7103364,0.7433264887063655
2018-09-06,4.26,4.28,4.18,4.19,9471318,0.6776180698151951
2018-09-07,4.2,4.28,4.2,4.26,11023106,0.5010266940451745
2018-09-10,4.26,4.3,4.23,4.27,11020798,0.4055441478439425
2018-09-11,4.24,4.26,4.19,4.24,9949768,0.3418891170431211
2018-09-12,4.23,4.27,4.19,4.26,7940548,0.2782340862422998
2018-09-13,4.27,4.3,4.23,4.27,5658180,0.2433264887063655
2018-09-14,4.26,4.27,4.23,4.23,5473505,0.2967145790554415
2018-09-17,4.22,4.25,4.19,4.21,5562300,0.2905544147843943
2018-09-18,4.22,4.26,4.19,4.24,5914665,0.2833675564681725
2018-09-19,4.24,4.4,4.23,4.38,17198804,0.1971252566735113
2018-09-20,4.36,4.38,4.33,4.35,10256548,0.1570841889117043
2018-09-21,4.38,4.44,4.34,4.42,12464170,0.1765913757700205
2018-09-25,4.38,4.38,4.31,4.33,9417708,0.1457905544147844
2018-09-26,4.34,4.36,4.29,4.31,9576247,0.1858316221765914
2018-09-27,4.32,4.33,4.28,4.28,6327772,0.1991786447638604
2018-09-28,4.31,4.31,4.24,4.27,9922998,0.2248459958932238
2018-10-08,4.2,4.2,4.08,4.08,13875809,0.2114989733059548
2018-10-09,4.08,4.1,4.04,4.06,7026041,0.2381930184804928
2018-10-10,4.05,4.09,4.0,4.04,9149537,0.2700205338809035
2018-10-11,3.98,3.98,3.66,3.69,19878712,0.5112936344969199
2018-10-12,3.7,3.75,3.6,3.73,13628588,0.6735112936344969
2018-10-15,3.75,3.77,3.66,3.67,10278189,0.8193018480492813
2018-10-16,3.66,3.71,3.54,3.57,9680988,0.8880903490759754
2018-10-17,3.61,3.68,3.59,3.68,9835794,0.8028747433264887
2018-10-18,3.64,3.67,3.59,3.59,6791933,0.7279260780287474
2018-10-19,3.58,3.72,3.54,3.7,12360410,0.6765913757700205
2018-10-22,3.74,3.93,3.72,3.87,16073196,0.63347022587269
2018-10-23,3.89,3.94,3.8,3.83,11070359,0.6201232032854209
2018-10-24,3.8,3.92,3.8,3.86,8867012,0.6016427104722792
2018-10-25,3.79,3.99,3.75,3.98,16037072,0.5236139630390144
2018-10-26,3.97,4.18,3.96,4.06,19617454,0.4137577002053388
2018-10-29,4.06,4.13,3.98,4.01,12612912,0.3613963039014374
2018-10-30,4.03,4.1,3.99,4.06,11521747,0.3459958932238193
2018-10-31,4.02,4.08,3.99,4.03,15122961,0.4414784394250513
2018-11-01,4.07,4.11,4.02,4.02,18069453,0.5164271047227926
2018-11-02,4.05,4.1,4.03,4.08,12532328,0.6098562628336756
2018-11-05,4.07,4.08,4.02,4.04,10367325,0.5595482546201233
2018-11-06,4.03,4.1,4.03,4.09,12175900,0.3367556468172485
2018-11-07,4.08,4.09,4.04,4.05,8925294,0.2392197125256673
2018-11-08,4.06,4.08,4.02,4.03,6111050,0.2186858316221766
